 iteration      beta_a      beta_b
     18600    2.513061    1.236551
     18625    2.442396    1.223877
     18650    2.680217    1.291494
     18675    2.357952    1.202640
     18700    2.502471    1.220405
     18725    2.669614    1.266257
     18750    2.607595    1.287623
     18775    2.584127    1.248670
     18800    2.576334    1.251609
     18825    2.493404    1.180401
     18850    2.511687    1.196816
     18875    2.629278    1.237077
     18900    2.597677    1.243545
     18925    2.524745    1.220377
     18950    2.710242    1.291127
     18975    2.460167    1.188106
     19000    2.516946    1.234398
     19025    2.568919    1.252303
     19050    2.628172    1.282817
     19075    2.811320    1.353451
     19100    2.643791    1.305567
     19125    2.552660    1.253186
     19150    2.591302    1.265506
     19175    2.552192    1.244647
     19200    2.525701    1.198288
     19225    2.574893    1.245096
     19250    2.588604    1.230187
     19275    2.538883    1.271613
     19300    2.535527    1.194567
     19325    2.569247    1.236895
     19350    2.574701    1.227164
     19375    2.565357    1.210612
     19400    2.548812    1.289963
     19425    2.616904    1.250124
     19450    2.560216    1.269865
     19475    2.587630    1.253560
     19500    2.580244    1.260934
     19525    2.573447    1.227382
     19550    2.584523    1.220905
     19575    2.521996    1.219903
     19600    2.596632    1.223478
     19625    2.714292    1.269755
     19650    2.637991    1.270732
     19675    2.647527    1.303359
     19700    2.396094    1.178831
     19725    2.524729    1.226911
     19750    2.753594    1.280406
     19775    2.565309    1.238985
     19800    2.666996    1.288913
     19825    2.496245    1.216232
     19850    2.643017    1.272431
     19875    2.685130    1.277262
     19900    2.499853    1.198809
     19925    2.636277    1.225695
     19950    2.718775    1.315071
     19975    2.615624    1.244381
     20000    2.451053    1.185523
     20025    2.589760    1.299692
     20050    2.586839    1.253616
     20075    2.487196    1.241165
     20100    2.598828    1.260891
     20125    2.655545    1.243228
     20150    2.663316    1.269684
     20175    2.619582    1.237786
     20200    2.817254    1.353835
     20225    2.656428    1.216182
     20250    2.579377    1.198879
     20275    2.540854    1.197492
     20300    2.641109    1.275681
     20325    2.427199    1.203938
     20350    2.723966    1.295664
     20375    2.629063    1.267310
     20400    2.577592    1.216419
     20425    2.592412    1.255520
     20450    2.444565    1.194740
     20475    2.561789    1.263970
     20500    2.469863    1.230118
     20525    2.561646    1.236658
     20550    2.683249    1.262372
     20575    2.439291    1.173925
     20600    2.493429    1.216385
     20625    2.601592    1.261845
     20650    2.609434    1.245716
     20675    2.630455    1.263551
     20700    2.535984    1.187140
