 iteration      lambda
     67050   28.596716
     67075   27.701119
     67100   27.824336
     67125   27.635578
     67150   27.900448
     67175   28.041217
     67200   27.291812
     67225   27.825337
     67250   27.297366
     67275   28.837930
     67300   27.286163
     67325   28.550120
     67350   29.055228
     67375   28.722664
     67400   29.010417
     67425   28.315644
     67450   27.888512
     67475   27.756296
     67500   26.885771
     67525   26.518065
     67550   26.727671
     67575   26.656160
     67600   26.282343
     67625   25.821333
     67650   25.442668
     67675   26.354642
     67700   27.187711
     67725   27.465336
     67750   27.609079
     67775   27.449856
     67800   26.664390
     67825   27.047585
     67850   27.236022
     67875   27.353412
     67900   27.095158
     67925   27.246277
     67950   27.056163
     67975   26.909375
     68000   28.238749
     68025   27.891669
     68050   27.834510
     68075   29.236027
     68100   27.947391
     68125   26.662665
     68150   26.640172
     68175   28.141500
     68200   27.091039
     68225   28.233869
     68250   27.630010
     68275   27.429344
     68300   27.204038
     68325   26.772415
     68350   27.425354
     68375   26.871780
     68400   28.120993
     68425   27.310600
     68450   26.935375
     68475   26.424759
     68500   26.268828
     68525   26.565225
     68550   26.271459
     68575   25.807972
     68600   27.173395
     68625   26.983374
     68650   26.116022
     68675   26.398364
     68700   26.249037
     68725   25.874429
     68750   26.384261
     68775   26.697057
     68800   26.282130
     68825   25.818933
     68850   25.854997
     68875   25.855576
     68900   25.962887
     68925   25.605104
     68950   25.842796
     68975   26.431481
     69000   25.623255
     69025   26.290696
     69050   26.368338
     69075   25.901068
     69100   25.114172
     69125   25.385378
     69150   25.982790
     69175   25.967406
     69200   25.374209
     69225   24.856487
     69250   26.151312
     69275   25.644999
     69300   25.385970
     69325   25.742092
     69350   24.631001
     69375   24.987094
     69400   25.891858
     69425   26.772261
     69450   24.854792
     69475   26.890010
     69500   26.972404
     69525   26.940060
     69550   27.636331
     69575   27.735916
     69600   26.857239
     69625   26.424103
     69650   27.210109
     69675   27.166483
     69700   26.088951
     69725   27.645371
     69750   27.793955
     69775   27.072956
     69800   27.647390
     69825   26.655275
     69850   26.805449
     69875   27.096087
     69900   26.790888
     69925   27.790863
     69950   27.731311
     69975   26.879296
     70000   26.754061
     70025   27.438109
     70050   28.139096
     70075   27.344563
     70100   26.086836
     70125   26.873894
     70150   27.082562
     70175   27.578545
     70200   27.953815
     70225   27.450254
     70250   27.142612
     70275   28.839666
     70300   27.150242
     70325   27.625933
     70350   26.011707
     70375   28.293359
     70400   27.384983
     70425   27.594107
     70450   26.845560
     70475   25.765858
     70500   25.785458
     70525   26.163321
     70550   26.202005
     70575   26.442993
     70600   25.682942
     70625   26.073614
     70650   26.143991
     70675   26.064732
     70700   25.353824
     70725   25.362903
     70750   25.099344
     70775   26.326033
     70800   25.295415
     70825   24.440609
     70850   25.160338
     70875   25.152549
     70900   23.898938
     70925   24.145994
     70950   24.340271
     70975   23.318524
     71000   22.694220
     71025   23.128388
     71050   22.414330
     71075   22.482897
     71100   22.172387
     71125   22.962159
     71150   23.958266
     71175   23.261975
     71200   23.463885
     71225   23.069059
     71250   22.870801
     71275   22.486531
     71300   23.004973
     71325   23.005135
     71350   22.329310
     71375   23.266479
     71400   23.534563
     71425   23.882899
     71450   24.437427
     71475   23.537413
     71500   23.661881
     71525   22.827657
     71550   23.965932
     71575   24.060612
     71600   23.673675
     71625   23.841249
     71650   24.759128
     71675   23.995562
     71700   24.939255
     71725   24.493564
     71750   23.958427
     71775   24.473252
     71800   24.882767
     71825   23.681969
     71850   23.535884
     71875   23.378037
     71900   24.183755
     71925   23.856879
     71950   24.247245
     71975   23.944804
     72000   24.069127
     72025   24.012546
     72050   24.574581
     72075   25.721004
     72100   24.943911
     72125   24.933806
     72150   24.891910
     72175   23.858236
     72200   24.224743
     72225   23.894686
     72250   24.428958
     72275   24.653440
     72300   25.240782
     72325   25.400441
     72350   25.423129
     72375   26.422339
     72400   25.009771
     72425   25.414620
     72450   25.424665
     72475   24.621300
     72500   25.444219
     72525   25.796870
     72550   25.541722
     72575   25.717196
     72600   26.069281
     72625   25.535569
     72650   26.204225
     72675   26.644426
     72700   26.579823
     72725   25.561673
     72750   26.019521
     72775   25.984475
     72800   26.710287
     72825   26.461988
     72850   26.132880
     72875   26.039112
     72900   25.799378
     72925   25.566196
     72950   25.696965
     72975   24.199805
     73000   25.215096
     73025   24.354624
     73050   25.472872
     73075   25.666458
     73100   26.051471
     73125   26.041737
     73150   25.198122
     73175   25.351462
     73200   25.324593
     73225   26.194132
     73250   25.481421
     73275   25.530832
     73300   26.526756
     73325   27.723021
     73350   27.359426
     73375   27.635943
     73400   27.121169
     73425   26.296224
     73450   26.847611
     73475   27.171145
     73500   25.661061
     73525   27.385798
     73550   26.531711
     73575   28.271822
     73600   28.114430
     73625   28.555681
     73650   28.940102
     73675   28.643764
     73700   29.204241
     73725   28.654113
     73750   28.291913
     73775   29.068118
     73800   28.741890
     73825   28.710887
     73850   28.577248
     73875   27.187588
     73900   26.802284
     73925   28.428987
     73950   28.290672
     73975   27.301804
     74000   28.363914
     74025   27.447854
     74050   28.181508
     74075   28.453359
     74100   28.398872
     74125   27.475228
     74150   28.860191
     74175   27.873241
     74200   27.677232
     74225   27.865583
     74250   28.069477
     74275   26.732265
