 iteration      beta_a      beta_b
     67825    0.699994    3.492715
     67850    0.679904    3.359551
     67875    0.698494    3.426843
     67900    0.668028    3.452872
     67925    0.688999    3.390703
     67950    0.679112    3.330223
     67975    0.673255    3.345953
     68000    0.662517    3.258141
     68025    0.680495    3.465399
     68050    0.681951    3.330163
     68075    0.701338    3.473356
     68100    0.685762    3.484650
     68125    0.706954    3.467103
     68150    0.690803    3.427025
     68175    0.697850    3.457755
     68200    0.693644    3.528127
     68225    0.689716    3.404819
     68250    0.690897    3.479972
     68275    0.669408    3.348637
     68300    0.677376    3.348886
     68325    0.676784    3.248926
     68350    0.695697    3.408246
     68375    0.693617    3.438269
     68400    0.681955    3.413492
     68425    0.679940    3.381826
     68450    0.686574    3.381260
     68475    0.693466    3.550605
     68500    0.681923    3.359768
     68525    0.681460    3.411072
     68550    0.681465    3.455471
     68575    0.671735    3.375858
     68600    0.675728    3.391977
     68625    0.660309    3.291882
     68650    0.694755    3.423987
     68675    0.682810    3.299863
     68700    0.701242    3.496668
     68725    0.698696    3.502342
     68750    0.664166    3.458653
     68775    0.695954    3.492374
     68800    0.678402    3.397001
     68825    0.667568    3.330467
     68850    0.691965    3.420412
     68875    0.672227    3.315375
     68900    0.675256    3.438394
     68925    0.672638    3.346355
     68950    0.699147    3.463357
     68975    0.682849    3.415982
     69000    0.689590    3.426075
     69025    0.699704    3.449646
     69050    0.682532    3.415703
     69075    0.657664    3.238736
     69100    0.680481    3.403100
     69125    0.675024    3.373554
     69150    0.674669    3.279116
     69175    0.692613    3.465102
     69200    0.686442    3.516600
     69225    0.679253    3.316283
     69250    0.684522    3.455587
     69275    0.720148    3.603859
     69300    0.680783    3.407859
     69325    0.688252    3.399525
     69350    0.668163    3.340033
     69375    0.681137    3.407614
     69400    0.690523    3.351470
     69425    0.684398    3.394369
     69450    0.677091    3.369191
     69475    0.666509    3.380564
     69500    0.676356    3.327560
     69525    0.686196    3.327244
     69550    0.673251    3.310398
     69575    0.669343    3.322744
     69600    0.683826    3.414926
     69625    0.665872    3.313248
     69650    0.666192    3.335437
     69675    0.690454    3.424444
     69700    0.676975    3.415790
     69725    0.668178    3.361912
     69750    0.667126    3.368428
     69775    0.688022    3.546119
     69800    0.682665    3.337659
     69825    0.683923    3.468119
     69850    0.679187    3.362969
     69875    0.695905    3.430418
     69900    0.669663    3.350508
     69925    0.677866    3.369533
     69950    0.674412    3.419765
     69975    0.694586    3.416474
     70000    0.701332    3.438847
     70025    0.680446    3.427764
     70050    0.688403    3.408590
     70075    0.685555    3.448093
     70100    0.684908    3.481170
     70125    0.690585    3.464601
     70150    0.681997    3.382533
     70175    0.665281    3.281512
     70200    0.667059    3.334313
     70225    0.682894    3.472221
     70250    0.679381    3.412517
     70275    0.696116    3.517107
     70300    0.698561    3.435541
     70325    0.669501    3.445099
     70350    0.685998    3.378986
     70375    0.693610    3.512664
     70400    0.714147    3.546536
     70425    0.672583    3.393509
     70450    0.695216    3.510115
     70475    0.660974    3.301087
     70500    0.677142    3.344977
     70525    0.684877    3.318033
     70550    0.680531    3.349300
     70575    0.688058    3.466883
     70600    0.658468    3.340465
     70625    0.689084    3.441603
     70650    0.701117    3.428469
     70675    0.695198    3.396431
     70700    0.700191    3.436321
     70725    0.675111    3.386805
     70750    0.667661    3.360756
     70775    0.687244    3.443271
     70800    0.670963    3.427757
     70825    0.678723    3.448030
     70850    0.681618    3.374206
     70875    0.696050    3.440472
     70900    0.697559    3.465417
     70925    0.700127    3.478174
     70950    0.682725    3.430412
     70975    0.672736    3.333317
     71000    0.677108    3.377914
     71025    0.676303    3.300183
     71050    0.690624    3.439766
     71075    0.684187    3.418970
     71100    0.696397    3.513834
     71125    0.673046    3.419594
     71150    0.686759    3.428734
     71175    0.697908    3.391379
     71200    0.679351    3.362387
     71225    0.702937    3.519066
     71250    0.707108    3.492166
     71275    0.679825    3.377052
     71300    0.705429    3.486769
     71325    0.717223    3.592546
     71350    0.706739    3.514329
     71375    0.679463    3.415799
     71400    0.688373    3.469154
     71425    0.684049    3.394343
     71450    0.664829    3.388956
     71475    0.694087    3.467038
     71500    0.688140    3.377902
     71525    0.681897    3.402797
     71550    0.665255    3.353839
     71575    0.705774    3.465293
     71600    0.707176    3.524890
     71625    0.694222    3.464135
     71650    0.681496    3.397643
     71675    0.691911    3.367920
     71700    0.711483    3.584888
     71725    0.694233    3.484428
     71750    0.688961    3.414352
     71775    0.672584    3.349131
     71800    0.665520    3.319373
     71825    0.669698    3.365680
     71850    0.689367    3.388242
     71875    0.666811    3.184502
     71900    0.685071    3.390908
     71925    0.700303    3.440311
     71950    0.707257    3.380060
     71975    0.665228    3.253285
     72000    0.688401    3.376517
     72025    0.688623    3.464391
     72050    0.666713    3.297435
     72075    0.675373    3.465383
     72100    0.661616    3.311858
     72125    0.693699    3.431828
     72150    0.674072    3.247744
     72175    0.684774    3.449322
     72200    0.690241    3.439794
     72225    0.670172    3.315394
     72250    0.684703    3.398283
     72275    0.676721    3.386920
     72300    0.681562    3.430660
     72325    0.681537    3.369359
     72350    0.673000    3.270046
     72375    0.670525    3.388825
     72400    0.674026    3.245377
     72425    0.675291    3.405618
     72450    0.689958    3.467412
     72475    0.687784    3.438724
     72500    0.685412    3.421033
     72525    0.686642    3.468560
     72550    0.678099    3.428863
     72575    0.669425    3.340908
     72600    0.694343    3.393146
