 iteration      beta_a      beta_b
     17025    2.261993    1.015857
     17050    2.250648    1.032281
     17075    2.370293    1.079437
     17100    2.350154    1.068363
     17125    2.347233    1.083398
     17150    2.200061    1.011049
     17175    2.350676    1.060648
     17200    2.267004    1.024466
     17225    2.129102    0.982585
     17250    2.303271    1.053576
     17275    2.318151    1.009465
     17300    2.302701    1.023572
     17325    2.452730    1.106601
     17350    2.327329    1.058619
     17375    2.368229    1.084106
     17400    2.340956    1.030049
     17425    2.387644    1.064972
     17450    2.222123    1.010174
     17475    2.290273    1.064689
     17500    2.203629    1.049702
     17525    2.277360    1.035137
     17550    2.348317    1.022642
     17575    2.257163    1.054636
     17600    2.249346    1.047503
     17625    2.321571    1.059014
     17650    2.357679    1.036070
     17675    2.232117    1.055085
     17700    2.284942    1.063712
     17725    2.308835    1.052947
     17750    2.219785    1.025021
     17775    2.288098    1.052691
     17800    2.324575    1.052134
     17825    2.244107    1.017725
     17850    2.335965    1.011869
     17875    2.285014    1.059165
     17900    2.333355    1.026566
     17925    2.091238    0.976458
     17950    2.214718    1.017116
     17975    2.339571    1.059749
     18000    2.201925    1.045375
     18025    2.249824    1.044403
     18050    2.389025    1.077235
     18075    2.308064    1.054178
     18100    2.283938    1.005032
     18125    2.267982    1.058900
     18150    2.344386    1.034429
     18175    2.402875    1.082272
     18200    2.443994    1.110680
     18225    2.235807    1.048847
     18250    2.380663    1.057083
     18275    2.437820    1.104171
     18300    2.213406    1.021308
     18325    2.294055    1.054477
     18350    2.298829    1.044058
     18375    2.315977    1.067135
     18400    2.379149    1.045566
     18425    2.388754    1.069519
     18450    2.311569    1.025339
     18475    2.283824    1.048480
     18500    2.344562    1.063489
     18525    2.382597    1.071046
     18550    2.337699    1.021406
     18575    2.392460    1.065628
     18600    2.399662    1.085324
     18625    2.325559    1.059851
     18650    2.326504    1.049860
     18675    2.306634    1.058361
     18700    2.435502    1.062249
     18725    2.275036    1.067386
     18750    2.371923    1.032171
     18775    2.309276    1.048719
     18800    2.355614    1.065763
     18825    2.346072    1.072016
     18850    2.330439    1.049517
     18875    2.178333    0.980854
     18900    2.377637    1.056403
     18925    2.415151    1.087669
     18950    2.312808    1.064760
     18975    2.237552    1.017256
     19000    2.377314    1.076375
     19025    2.219407    1.029664
     19050    2.465105    1.041506
     19075    2.297513    1.062660
     19100    2.275856    1.047468
     19125    2.217132    1.033779
     19150    2.402326    1.107587
     19175    2.374339    1.051801
     19200    2.319414    1.048507
     19225    2.405182    1.069001
     19250    2.398271    1.066357
     19275    2.226755    1.008827
     19300    2.277501    1.038034
     19325    2.286156    1.019357
     19350    2.470175    1.104186
     19375    2.372528    1.054767
     19400    2.352569    1.038063
     19425    2.305874    1.053628
     19450    2.427867    1.075342
     19475    2.339151    1.037780
     19500    2.325125    1.034963
     19525    2.174150    1.028546
     19550    2.260980    1.044370
     19575    2.189852    1.031845
     19600    2.323192    1.076127
     19625    2.240747    1.034780
     19650    2.308853    1.035026
     19675    2.333768    1.045631
     19700    2.327790    1.084828
     19725    2.304202    1.063848
     19750    2.253284    1.059161
     19775    2.405187    1.073047
     19800    2.334571    1.026433
     19825    2.260289    1.029377
     19850    2.241846    1.016573
     19875    2.325789    1.074169
     19900    2.221579    1.017522
     19925    2.243588    1.037018
     19950    2.229777    1.048972
     19975    2.266655    1.062159
     20000    2.324111    1.044559
     20025    2.283170    1.022884
     20050    2.304481    1.064851
     20075    2.320321    1.047412
     20100    2.182254    1.004319
     20125    2.321478    1.039489
     20150    2.291015    1.040953
     20175    2.339947    1.041864
     20200    2.346872    1.091808
     20225    2.388994    1.077037
     20250    2.431547    1.085334
     20275    2.359413    1.070437
     20300    2.340530    1.086018
     20325    2.266025    1.055151
     20350    2.257005    1.024028
     20375    2.203682    1.028586
     20400    2.350111    1.059659
     20425    2.278789    0.987374
     20450    2.368069    1.068991
     20475    2.425827    1.061553
     20500    2.373231    1.082479
     20525    2.371413    1.076051
     20550    2.350734    1.053093
     20575    2.315915    1.038875
     20600    2.306050    1.076774
     20625    2.255568    1.019846
     20650    2.385087    1.071625
     20675    2.288375    1.038805
     20700    2.454484    1.094955
     20725    2.153287    1.009280
     20750    2.391404    1.064726
     20775    2.215722    1.012565
     20800    2.201738    1.018270
     20825    2.247764    1.069217
     20850    2.413803    1.094092
     20875    2.361537    1.093886
     20900    2.180795    1.015147
     20925    2.288463    1.047045
     20950    2.272566    0.990892
     20975    2.217094    0.997903
     21000    2.274670    0.995071
     21025    2.254308    1.055629
     21050    2.240851    1.009903
     21075    2.329890    1.026825
     21100    2.230828    1.003633
     21125    2.378213    1.089984
     21150    2.548097    1.133905
     21175    2.229765    1.020080
     21200    2.294056    1.027459
     21225    2.282144    1.089799
     21250    2.275215    1.035830
     21275    2.232352    1.003418
     21300    2.348880    1.035730
     21325    2.148114    0.973792
     21350    2.150287    1.005113
     21375    2.233279    1.024419
     21400    2.425051    1.044524
     21425    2.251236    1.027583
     21450    2.337491    1.089150
     21475    2.402760    1.048938
     21500    2.266872    0.999571
     21525    2.330008    1.070281
     21550    2.321868    1.072022
     21575    2.187500    1.042936
     21600    2.306729    1.056509
     21625    2.410930    1.098730
     21650    2.402740    1.066043
     21675    2.321430    1.051261
     21700    2.292982    1.025809
     21725    2.268683    1.007704
     21750    2.176775    1.014771
     21775    2.253441    1.028896
     21800    2.291254    1.029502
     21825    2.310765    1.037237
     21850    2.336051    1.014566
     21875    2.313381    1.049971
     21900    2.354951    1.050268
     21925    2.404522    1.043716
     21950    2.319649    1.081630
     21975    2.183638    1.010396
     22000    2.334062    1.067001
     22025    2.101988    1.014070
     22050    2.274795    1.044311
     22075    2.317322    1.065472
     22100    2.312550    1.019259
     22125    2.204750    1.000822
     22150    2.344356    1.074321
     22175    2.306472    1.069896
     22200    2.275313    1.012240
     22225    2.369201    1.039348
     22250    2.278465    1.024860
     22275    2.326224    1.001309
     22300    2.367056    1.114295
     22325    2.239054    0.995088
     22350    2.342940    1.030769
     22375    2.257491    1.046935
     22400    2.285515    1.018911
     22425    2.247803    1.012995
     22450    2.452813    1.075727
     22475    2.336266    1.055658
     22500    2.287284    1.030296
     22525    2.247068    1.034373
     22550    2.345501    1.076366
     22575    2.441097    1.058687
     22600    2.463680    1.087424
     22625    2.325892    1.046301
     22650    2.301102    1.087820
     22675    2.210785    1.002118
     22700    2.348505    1.044129
     22725    2.487147    1.091077
     22750    2.378688    1.071344
     22775    2.266365    1.036207
     22800    2.141114    0.980118
     22825    2.268013    1.041156
     22850    2.272554    1.027914
     22875    2.262810    1.062369
     22900    2.235899    1.016756
     22925    2.272412    1.004862
     22950    2.301951    1.071423
     22975    2.333596    1.046946
     23000    2.232892    1.048803
     23025    2.234156    1.009935
     23050    2.268184    1.061545
     23075    2.250804    1.010934
     23100    2.274190    1.028139
     23125    2.595491    1.122128
     23150    2.292358    1.032504
     23175    2.381746    1.067739
     23200    2.264688    1.027333
     23225    2.362232    1.075546
     23250    2.287863    1.057559
     23275    2.320754    1.029247
     23300    2.237027    1.063934
     23325    2.349083    1.073095
     23350    2.263513    1.017209
     23375    2.252133    1.022948
     23400    2.311407    1.051312
     23425    2.186029    0.991036
     23450    2.214108    1.007900
     23475    2.365483    1.079233
     23500    2.373788    1.064008
     23525    2.187208    1.003913
     23550    2.402277    1.072327
     23575    2.424729    1.104661
     23600    2.419726    1.067734
     23625    2.233716    1.033554
     23650    2.331067    1.044912
     23675    2.288708    1.020560
     23700    2.222679    1.061471
     23725    2.274967    1.036724
     23750    2.335331    1.065202
     23775    2.354739    1.039496
     23800    2.315557    1.049124
     23825    2.342149    1.071063
     23850    2.327393    1.063868
     23875    2.239925    0.999928
     23900    2.270677    1.049059
     23925    2.400105    1.084991
     23950    2.287389    1.023793
     23975    2.322596    1.081255
     24000    2.245940    0.992312
     24025    2.261346    1.037032
     24050    2.286574    1.049467
     24075    2.338899    1.062749
     24100    2.233863    1.010228
     24125    2.243804    1.029692
     24150    2.187508    1.004859
     24175    2.351684    1.083707
     24200    2.385942    1.086311
     24225    2.267179    1.011456
     24250    2.345193    1.037211
     24275    2.219796    1.034058
     24300    2.249622    1.037762
     24325    2.333161    1.095106
     24350    2.414533    1.074998
     24375    2.403308    1.117372
     24400    2.259313    1.045569
     24425    2.253021    1.050115
     24450    2.354168    1.076216
     24475    2.380900    1.066442
     24500    2.270153    1.029920
     24525    2.451685    1.064876
     24550    2.245949    1.020119
     24575    2.219180    0.981226
     24600    2.242501    1.014604
     24625    2.320766    1.031810
     24650    2.425339    1.082868
     24675    2.253917    1.008089
     24700    2.294835    1.051634
     24725    2.368511    1.107438
     24750    2.300923    1.032093
     24775    2.387009    1.121023
