 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
      8100   -2.22452e+04    0.316309    0.330000    0.326812    0.160000    0.280000    0.341538    0.331040
      8125   -2.15819e+04    0.316243    0.300000    0.327968    0.320000    0.320000    0.339991    0.332588
      8150   -2.23950e+04    0.314807    0.340000    0.329533    0.360000    0.200000    0.340525    0.331401
      8175   -2.25254e+04    0.315856    0.320000    0.328644    0.280000    0.200000    0.339120    0.331285
      8200   -2.22034e+04    0.314073    0.280000    0.326581    0.160000    0.400000    0.339137    0.331632
      8225   -2.29512e+04    0.315820    0.250000    0.330814    0.400000    0.240000    0.336345    0.331263
      8250   -2.23865e+04    0.315398    0.340000    0.333001    0.400000    0.200000    0.338533    0.329484
      8275   -2.26217e+04    0.315229    0.330000    0.328146    0.080000    0.320000    0.338995    0.331116
      8300   -2.26758e+04    0.314362    0.420000    0.323486    0.240000    0.240000    0.340507    0.331103
      8325   -2.30419e+04    0.314469    0.340000    0.323024    0.160000    0.520000    0.339048    0.332005
      8350   -2.27938e+04    0.315611    0.270000    0.331418    0.400000    0.320000    0.337661    0.330000
      8375   -2.29936e+04    0.315887    0.380000    0.322863    0.200000    0.200000    0.340525    0.330663
      8400   -2.26863e+04    0.314295    0.350000    0.327541    0.280000    0.360000    0.341841    0.331000
      8425   -2.33454e+04    0.315878    0.290000    0.328928    0.440000    0.320000    0.338444    0.330445
      8450   -2.36603e+04    0.314762    0.390000    0.327363    0.240000    0.200000    0.340151    0.331983
      8475   -2.32718e+04    0.315478    0.270000    0.330938    0.280000    0.280000    0.336790    0.330867
      8500   -2.41887e+04    0.316060    0.310000    0.329622    0.200000    0.360000    0.341592    0.330774
      8525   -2.43511e+04    0.315189    0.230000    0.327257    0.320000    0.240000    0.338515    0.330138
      8550   -2.47813e+04    0.313864    0.320000    0.329391    0.360000    0.200000    0.339262    0.329013
      8575   -2.50288e+04    0.314851    0.270000    0.328306    0.160000    0.200000    0.337163    0.329035
      8600   -2.49311e+04    0.314464    0.350000    0.324749    0.320000    0.200000    0.337768    0.330062
      8625   -2.44324e+04    0.316109    0.380000    0.327399    0.240000    0.280000    0.337661    0.331241
      8650   -2.39709e+04    0.313859    0.440000    0.326652    0.160000    0.280000    0.336185    0.331241
      8675   -2.31969e+04    0.315843    0.330000    0.324375    0.440000    0.200000    0.339102    0.332268
      8700   -2.39318e+04    0.315763    0.280000    0.322899    0.200000    0.280000    0.337074    0.329631
      8725   -2.42412e+04    0.317048    0.360000    0.326065    0.280000    0.400000    0.338817    0.331650
      8750   -2.39915e+04    0.315069    0.360000    0.326510    0.240000    0.200000    0.335776    0.329747
      8775   -2.37607e+04    0.315874    0.170000    0.323433    0.360000    0.400000    0.338462    0.331730
      8800   -2.40214e+04    0.315638    0.220000    0.327719    0.400000    0.360000    0.340596    0.331116
      8825   -2.40659e+04    0.314273    0.230000    0.324464    0.320000    0.240000    0.337199    0.331547
      8850   -2.33676e+04    0.316136    0.310000    0.325940    0.240000    0.160000    0.339884    0.331876
      8875   -2.34558e+04    0.316123    0.380000    0.326118    0.240000    0.280000    0.336238    0.329791
      8900   -2.28060e+04    0.315345    0.310000    0.327150    0.320000    0.280000    0.335385    0.331654
      8925   -2.25287e+04    0.313513    0.280000    0.329800    0.280000    0.240000    0.340240    0.330996
      8950   -2.29631e+04    0.317265    0.220000    0.328039    0.360000    0.240000    0.342534    0.332735
      8975   -2.34181e+04    0.317421    0.260000    0.330831    0.200000    0.320000    0.338604    0.330894
      9000   -2.35028e+04    0.315709    0.340000    0.328875    0.360000    0.200000    0.337092    0.331214
      9025   -2.36097e+04    0.315256    0.280000    0.327719    0.360000    0.320000    0.336381    0.329311
      9050   -2.40835e+04    0.315669    0.290000    0.326687    0.280000    0.280000    0.337999    0.330943
      9075   -2.40971e+04    0.314269    0.320000    0.326118    0.280000    0.280000    0.339048    0.328977
      9100   -2.38888e+04    0.313508    0.280000    0.324731    0.440000    0.200000    0.338337    0.331467
      9125   -2.33342e+04    0.316901    0.300000    0.322970    0.360000    0.320000    0.341272    0.329275
      9150   -2.31629e+04    0.313975    0.380000    0.328110    0.320000    0.480000    0.339120    0.330462
      9175   -2.26499e+04    0.317363    0.300000    0.324055    0.320000    0.200000    0.338159    0.330734
      9200   -2.24896e+04    0.314620    0.360000    0.330333    0.200000    0.320000    0.337145    0.331867
      9225   -2.21422e+04    0.315398    0.340000    0.325816    0.280000    0.280000    0.338035    0.330685
      9250   -2.31941e+04    0.315376    0.250000    0.329515    0.320000    0.280000    0.335616    0.331641
      9275   -2.27048e+04    0.316309    0.290000    0.329960    0.360000    0.200000    0.338550    0.331467
      9300   -2.23342e+04    0.315291    0.290000    0.327879    0.240000    0.320000    0.340507    0.330694
      9325   -2.19861e+04    0.315096    0.250000    0.327950    0.440000    0.360000    0.338230    0.331401
