 iteration      beta_a      beta_b
     67925    0.484989    2.569465
     67950    0.488073    2.601496
     67975    0.479533    2.543248
     68000    0.484367    2.530367
     68025    0.496963    2.599222
     68050    0.491651    2.586151
     68075    0.494320    2.607489
     68100    0.489431    2.591459
     68125    0.489476    2.581482
     68150    0.495813    2.596395
     68175    0.484954    2.594930
     68200    0.492726    2.563511
     68225    0.488134    2.577614
     68250    0.487338    2.582135
     68275    0.488173    2.599527
     68300    0.488250    2.560926
     68325    0.483788    2.563118
     68350    0.490635    2.599309
     68375    0.489676    2.587676
     68400    0.489624    2.572714
     68425    0.488644    2.571543
     68450    0.484912    2.565943
     68475    0.488330    2.577627
     68500    0.485570    2.587251
     68525    0.487542    2.548660
     68550    0.481147    2.542082
     68575    0.487726    2.559062
     68600    0.481125    2.550418
     68625    0.489041    2.626212
     68650    0.494158    2.589166
     68675    0.485258    2.581091
     68700    0.484793    2.537983
     68725    0.488610    2.567738
     68750    0.486447    2.594495
     68775    0.490542    2.607193
     68800    0.490842    2.571535
     68825    0.489229    2.590634
     68850    0.493857    2.615105
     68875    0.492402    2.594300
     68900    0.484195    2.567210
     68925    0.481534    2.562840
     68950    0.487903    2.576091
     68975    0.493102    2.594089
     69000    0.482600    2.548953
     69025    0.485124    2.613901
     69050    0.489911    2.622657
     69075    0.487380    2.559065
     69100    0.485012    2.598417
     69125    0.489499    2.593102
     69150    0.489044    2.598303
     69175    0.487650    2.579680
     69200    0.492763    2.614619
     69225    0.487032    2.552268
     69250    0.488048    2.610725
     69275    0.490315    2.581064
     69300    0.487142    2.602303
     69325    0.491261    2.613240
     69350    0.484095    2.550797
     69375    0.488837    2.575939
     69400    0.489836    2.597444
     69425    0.489889    2.613893
     69450    0.494865    2.606490
     69475    0.497921    2.630147
     69500    0.490324    2.605215
     69525    0.491335    2.599900
     69550    0.491002    2.619981
     69575    0.486066    2.564323
     69600    0.484017    2.594087
     69625    0.489655    2.584148
     69650    0.489633    2.612504
     69675    0.484755    2.608099
     69700    0.484209    2.589338
     69725    0.490072    2.591861
     69750    0.489048    2.569752
     69775    0.491261    2.583294
     69800    0.485713    2.541126
     69825    0.488908    2.565039
     69850    0.485892    2.574207
     69875    0.487741    2.582034
     69900    0.489202    2.552443
     69925    0.495304    2.604905
     69950    0.489677    2.577910
     69975    0.482074    2.555646
