 iteration        log_Lik      acpt_p      acpt_M     acpt_pi     acpt_mu     acpt_nu  acpt_delta  acpt_sigma
     53425   -3.66546e+05    0.239975    0.093333    0.182373    0.280000    0.280000    0.322935    0.295341
     53450   -3.65101e+05    0.240337    0.253333    0.182525    0.240000    0.400000    0.321168    0.294391
     53475   -3.65087e+05    0.240423    0.146667    0.182595    0.320000    0.200000    0.322014    0.294815
     53500   -3.65521e+05    0.241216    0.133333    0.183788    0.240000    0.160000    0.320811    0.294646
     53525   -3.65344e+05    0.241197    0.133333    0.183505    0.440000    0.240000    0.321508    0.294692
     53550   -3.64920e+05    0.241105    0.066667    0.185535    0.400000    0.160000    0.321842    0.294892
     53575   -3.65374e+05    0.241149    0.146667    0.184670    0.400000    0.160000    0.321742    0.294959
     53600   -3.64864e+05    0.241899    0.173333    0.185856    0.440000    0.280000    0.321935    0.295291
     53625   -3.63574e+05    0.240895    0.240000    0.184747    0.320000    0.280000    0.322027    0.295134
     53650   -3.64663e+05    0.241202    0.133333    0.184598    0.240000    0.280000    0.321621    0.295440
     53675   -3.65017e+05    0.241196    0.146667    0.184489    0.320000    0.240000    0.320745    0.295280
     53700   -3.63793e+05    0.241259    0.120000    0.184567    0.320000    0.240000    0.322092    0.294849
     53725   -3.63821e+05    0.242177    0.173333    0.185409    0.360000    0.280000    0.321542    0.295218
     53750   -3.62797e+05    0.241457    0.173333    0.184498    0.160000    0.320000    0.322549    0.294998
     53775   -3.63346e+05    0.241099    0.146667    0.183817    0.360000    0.160000    0.320600    0.295588
     53800   -3.65152e+05    0.241341    0.120000    0.183852    0.360000    0.280000    0.321677    0.294479
     53825   -3.65051e+05    0.240874    0.133333    0.184923    0.400000    0.160000    0.321742    0.294988
     53850   -3.65180e+05    0.241882    0.226667    0.184451    0.280000    0.200000    0.322027    0.294842
     53875   -3.63587e+05    0.242135    0.160000    0.184364    0.320000    0.240000    0.321556    0.295629
     53900   -3.64876e+05    0.241988    0.106667    0.185247    0.240000    0.120000    0.321915    0.294633
     53925   -3.64066e+05    0.241650    0.120000    0.185093    0.240000    0.200000    0.322033    0.294999
     53950   -3.62204e+05    0.241195    0.146667    0.185283    0.280000    0.320000    0.321950    0.295533
     53975   -3.61999e+05    0.241523    0.213333    0.185570    0.160000    0.400000    0.320197    0.296181
     54000   -3.61789e+05    0.241395    0.093333    0.184843    0.280000    0.360000    0.322222    0.295070
     54025   -3.63971e+05    0.241044    0.120000    0.184446    0.160000    0.320000    0.321504    0.295560
     54050   -3.64657e+05    0.241534    0.160000    0.184993    0.240000    0.360000    0.322039    0.295127
     54075   -3.64597e+05    0.241558    0.160000    0.184611    0.320000    0.360000    0.320833    0.294893
     54100   -3.63911e+05    0.241271    0.240000    0.183888    0.360000    0.200000    0.321681    0.294672
     54125   -3.66211e+05    0.241065    0.173333    0.183591    0.360000    0.280000    0.321882    0.294738
     54150   -3.63060e+05    0.241075    0.213333    0.184187    0.120000    0.240000    0.321808    0.294882
     54175   -3.62554e+05    0.240847    0.226667    0.183015    0.280000    0.280000    0.322221    0.295688
     54200   -3.63647e+05    0.240616    0.293333    0.183342    0.240000    0.120000    0.322654    0.295690
     54225   -3.62803e+05    0.241211    0.226667    0.183636    0.280000    0.240000    0.321953    0.295568
     54250   -3.61317e+05    0.240919    0.133333    0.184651    0.480000    0.320000    0.322248    0.296593
     54275   -3.62735e+05    0.241231    0.213333    0.184902    0.120000    0.160000    0.321603    0.295814
     54300   -3.63890e+05    0.241616    0.226667    0.185059    0.160000    0.280000    0.321861    0.295142
     54325   -3.63209e+05    0.242343    0.200000    0.184634    0.240000    0.240000    0.321576    0.295766
     54350   -3.62575e+05    0.242538    0.186667    0.186108    0.400000    0.280000    0.321737    0.295459
     54375   -3.63301e+05    0.242216    0.093333    0.184536    0.280000    0.280000    0.321127    0.296116
     54400   -3.63834e+05    0.241280    0.160000    0.183743    0.520000    0.240000    0.321462    0.295397
     54425   -3.63372e+05    0.241238    0.200000    0.183275    0.160000    0.200000    0.320767    0.295353
     54450   -3.62778e+05    0.241310    0.120000    0.183943    0.240000    0.240000    0.321012    0.295379
     54475   -3.63005e+05    0.241209    0.133333    0.183513    0.280000    0.200000    0.322039    0.295439
     54500   -3.62412e+05    0.241012    0.133333    0.183455    0.480000    0.400000    0.321230    0.295651
     54525   -3.62506e+05    0.241174    0.093333    0.183407    0.360000    0.360000    0.321973    0.294817
     54550   -3.62066e+05    0.240273    0.146667    0.182051    0.400000    0.280000    0.321752    0.295906
     54575   -3.61381e+05    0.239605    0.066667    0.182249    0.240000    0.320000    0.321289    0.296275
     54600   -3.61152e+05    0.240151    0.146667    0.182154    0.320000    0.240000    0.322268    0.296202
     54625   -3.62820e+05    0.239916    0.133333    0.181693    0.360000    0.280000    0.321076    0.295710
     54650   -3.63621e+05    0.239478    0.066667    0.181715    0.280000    0.360000    0.321656    0.296224
     54675   -3.63499e+05    0.239726    0.093333    0.181239    0.280000    0.160000    0.321889    0.295646
     54700   -3.63627e+05    0.239831    0.133333    0.181449    0.320000    0.280000    0.321529    0.295838
     54725   -3.62817e+05    0.239232    0.173333    0.181304    0.240000    0.160000    0.322331    0.295302
     54750   -3.64299e+05    0.239449    0.160000    0.180679    0.440000    0.240000    0.322018    0.295110
     54775   -3.63148e+05    0.239921    0.186667    0.182368    0.240000    0.280000    0.321394    0.294596
     54800   -3.63629e+05    0.239261    0.133333    0.179840    0.360000    0.440000    0.321355    0.295920
     54825   -3.63131e+05    0.239165    0.133333    0.180628    0.400000    0.280000    0.321905    0.295419
     54850   -3.62232e+05    0.239486    0.160000    0.182250    0.320000    0.200000    0.321237    0.295694
     54875   -3.61649e+05    0.239318    0.106667    0.182712    0.440000    0.480000    0.321354    0.296035
     54900   -3.60510e+05    0.240105    0.186667    0.182864    0.200000    0.280000    0.321215    0.296626
     54925   -3.62331e+05    0.239199    0.160000    0.181733    0.400000    0.280000    0.321615    0.295883
     54950   -3.62948e+05    0.239643    0.120000    0.181819    0.480000    0.360000    0.321973    0.296073
