 iteration      lambda
     73225   32.474906
     73250   32.606537
     73275   32.303619
     73300   32.161629
     73325   32.457535
     73350   32.584754
     73375   32.521196
     73400   32.942855
     73425   32.985370
     73450   32.210916
     73475   32.672467
     73500   32.414438
     73525   32.486584
     73550   32.454238
     73575   32.794269
     73600   32.673558
     73625   32.649207
     73650   32.623416
     73675   32.771886
     73700   32.619028
     73725   32.646405
     73750   32.170977
     73775   31.726930
     73800   32.267973
     73825   32.451222
     73850   32.087785
     73875   32.143457
     73900   31.717061
     73925   31.428054
     73950   31.387191
     73975   30.893795
     74000   31.028620
     74025   31.109804
     74050   31.466138
     74075   30.734373
     74100   31.188670
     74125   31.010664
     74150   31.213546
     74175   30.810951
     74200   30.647904
     74225   30.739380
     74250   30.968747
     74275   30.417769
     74300   30.723016
     74325   30.170541
     74350   30.544170
     74375   30.066411
     74400   30.133323
     74425   30.694972
     74450   30.247291
     74475   30.212312
     74500   30.493596
     74525   30.759945
     74550   30.411121
     74575   30.929079
     74600   30.427538
     74625   30.786188
     74650   30.172792
     74675   30.333647
     74700   30.521840
     74725   30.809789
     74750   30.571179
     74775   31.250814
     74800   31.074267
     74825   30.641328
     74850   30.707297
     74875   30.785892
     74900   30.372573
     74925   30.464640
     74950   30.686729
     74975   30.108656
     75000   30.641616
     75025   30.422489
     75050   31.272629
     75075   31.218026
     75100   31.044626
     75125   31.869534
     75150   31.200311
     75175   31.242592
     75200   30.895497
     75225   31.249959
     75250   31.154612
     75275   31.793166
     75300   31.361449
     75325   30.295332
     75350   30.190132
     75375   31.084884
     75400   31.154165
     75425   30.561505
     75450   31.310096
     75475   31.311036
     75500   31.045461
     75525   31.203742
     75550   30.935776
     75575   31.125377
     75600   30.500107
     75625   31.036309
     75650   30.428777
     75675   30.461914
     75700   30.622462
     75725   31.297011
     75750   31.397037
     75775   31.614193
     75800   31.839488
     75825   31.596664
     75850   31.844647
     75875   31.434576
     75900   31.253188
     75925   31.081588
     75950   30.763053
     75975   30.874162
     76000   30.430764
     76025   30.399838
     76050   30.255126
     76075   30.725705
     76100   30.715269
     76125   30.673753
     76150   31.274769
     76175   31.789241
     76200   31.763643
     76225   31.438867
     76250   31.270019
     76275   31.318336
     76300   31.274483
     76325   31.243593
     76350   30.768146
     76375   31.069185
     76400   30.936802
     76425   30.835131
     76450   30.845959
     76475   30.587235
     76500   30.899943
     76525   30.786191
     76550   30.186270
     76575   30.348173
     76600   30.480435
     76625   30.330646
     76650   30.550422
